index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Embeddings
1,2023-02-23 00:00:00.000000,Mortgage,FHA mortgage,Trouble during payment process,None,We had some hardships between COVID and some medical issues. The value of our home is substantially more they what is owed on the home. Value is {$210000.00} we owe {$130000.00}. We have requested to have our PMI removed which would lower our monthly payment which would help us with being able to make the mortgage payments but the mortgage company is refusing. We have medical bills to pay and we are also adding more equity into the home by adding another bathroom and bedroom. We really would like the PMI removed to lower our monthly payment.,None,CrossCountry Mortgage LLC,WI,547XX,None,1,Web,2023-02-23 00:00:00.000000,Closed with explanation,1,1,6608183,-2.5349712
4,2023-02-23 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"My mortgage was sold to Roundpoint company in XX/XX/2023. I got a letter in XXXX from my prior lender, XXXX XXXX stating this was to occur and the next payment to be made would go to Roundpoint. XXXX XXXX 's letter provided the Roundpoint contact but no other info. XX/XX/XXXX, when I typically pay bills, I called Roundpoint and they said they did not have the transfer completed and could not provide me with any information so that I could pay the mortgage on time. They said I would receive a letter from Roundpoint when they were ready to receive payments. They reassured me that there was a 60 day grace period to allow all the customers to receive the necessary information to pay their mortgage. I never received a letter. I got a call about XX/XX/XXXX and the lady was quite rude, she said there is a grace period but the payment would still be listed as late, even though I couldn't have paid it without the loan number. As I tried to explain and ask for proper documentation she continually interrupting me. I stated I was waiting for a letter from them that clearly documents that the loan was transferred, the loan number, the amount of the loan and the interest. The rude customer service rep kept suggesting I could solve all these problems myself, and could have already paid the mortgage. This loan is {$450000.00}, and this is serious money to me. I want a document that shows the loan is accurate. There can be mistakes and fraud and I don't want to be a victim of a scam. She never assured me that a paper letter would arrive that would provide this needed and required information. She said "" check your email junk folder.. I did and a letter providing some basic info but not complete info was there. just enough to pay them, but no statement of loan amount or interest. This reeks of fraud. I would like them investigated. The mortgage industry has a very bad reputation and this is another example of why. I have perfect credit, and I will pay them, but I am reluctant to continue to work with this company and it isn't fair to me to have to consider refinancing due to this type of behavior.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,RoundPoint Mortgage Servicing Corporation,CA,94952,None,1,Web,2023-02-23 00:00:00.000000,Closed with explanation,1,1,6608230,-1.7125219
9,2023-02-22 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"PHH automatically enrolled me into a COVID Forbearance plan in XXXX even though i made all of my payments from my savings. I called and let PHH know that even though COVID was impacting my ability to earn income that i had enough savings to continue to make my payments. 

PHH incorrectly applied some payments in XXXX and then decided to defer {$3900.00} to a non-interest bearing balance on XX/XX/XXXX. I scheduled a call for XX/XX/XXXX with my PHH Relationship Manager, XXXX XXXX, so i could understand the adjustments they made to my account. The relationship manager never called. I called the next day to find out why i didn't receive a call. 
I was told that in the mortgage servicer 's system the relationship manager noted that he had made a phone call even though they didn't. I verified that they had my correct phone number. 

In XXXX I made all of my payments from my savings. In XXXX i started to experience a prolonged hardship due to COVID. I contacted PHH and asked for a forbearance. They granted me a forbearance for XX/XX/XXXX- XX/XX/XXXX. In XXXX i also applied for the California Mortgage Relief and they were able to pay PHH {$17000.00} for the months of XX/XX/XXXX- XX/XX/XXXX. 

I scheduled a call for XX/XX/XXXX with my PHH Relationship Manager, XXXX XXXX, so i verify that PHH had received funds from the California Mortgage Relief and they were applied to my account. The relationship manager never called. I called the next day to find out why i didn't receive a call. I was told that in the mortgage servicer 's system the relationship manager noted that he had made a phone call even though they didn't. I verified that they had my correct phone number. 

I was able to make the payments in XX/XX/XXXX- XX/XX/XXXX. In XX/XX/XXXX i continued to experience a hardship and contacted PHH to request another Forbearance. On XX/XX/XXXX i spoke with XXXX XXXX and was told that i am under a modification plan that is under review. I was told that there would be no negative impact to my credit or credit score. On XX/XX/XXXX i spoke with XXXX XXXX and i was told that i was on a Forbearance plan from XX/XX/XXXX- XX/XX/XXXX. 

I recently checked my credit score from XXXX, XXXX XXXX XXXX and PHH is negatively reporting that i am in default and it is effecting my credit score which is impacting my ability to gain employment since employers routinely check credit scores of job applicants. Additionally, PHH reported that i was in a Forbearance for the years of XXXX, XXXX and XXXX. I was told that under the CARES act that there wouldn't be any negative credit reporting. Reporting a Forbearance is a negative statement to my credit report. 

My loan in a XXXX XXXX loan and their guidelines allow a 12 month forbearance that can be extended to 18 months if there was a Forbearance on the account before XX/XX/XXXX. I qualify under PHH investor XXXX XXXX guidelines to have a Forbearance for up to 18 months. XXXX XXXX Bulletin XXXX, issued XX/XX/XXXX, provided notice to mortgage servicers that they are to comply with forbearance requests. 

Also, i was recently contacted by the California Mortgage Relief and was told that they have additional funding for accounts that have missed 2 payments before XX/XX/XXXX. I meet these qualifications and have applied for additional funding based on these new guidelines. 

I have told you the complete history of what has happened to let you understand that i don't have confidence that PHH will communicate with me using their Relationship Manager as they are required to under federal lending laws.",None,Ocwen Financial Corporation,CA,XXXXX,None,1,Web,2023-02-22 00:00:00.000000,Closed with explanation,1,1,6602716,-1.941894
27,2023-02-24 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"Hello, my name is XXXX XXXX. So 12 months ago I was notified that my bank failed to pay my homeowners insurance company XXXX XXXX insurance and that my policy had been cancelled I then had to get a hold of XXXX XXXX get a new policy for {$1200.00} which was {$500.00} more per year than my old Policy and frankly at the time I accepted that as a mistake by the bank & accepted it as an accident although very unfair. Fast forward 11 months later to XX/XX/2023 and I called my homeowners after water damage to my home to make a claim however my homeowners insurance company XXXX XXXX informed me that I had not had homeowners insurance in 11 months to which I replied that is impossible, the bank made me submit verification of the new policy 11 months ago so how is that possible? They say the bank sent the money too late. Yet no 1 informed me at all? How come my mortgage statements show that the money was paid to XXXX XXXX? & no one from 5/3 mentioned anything to me & i had spoken with them several times this past year about other issues. However it seems 5/3 is trained to never admit their faults. So naturally no one could explain to me where my {$1200.00} went from 11 months ago or why I have not had a policy for 11 ) months I was distraught last year when I didn't have it for three days because of 5/3 but i fixed their mistake as fast as humanly possible, but at this point its no longer a mistake, it's clearly negligence. They only deflect blame when the fault is clearly theirs. Now after more than two weeks, no 1 is assisting me, or calling me back, but no 1 is telling me where my money is or where it went when this escrow account is their obligation, infact I just got a notice stating that on XX/XX/XXXX my mortgage payment is going up from {$890.00} up to {$1000.00} a month due to my taxes and insurance going up they said however upon several calls and conflicting answers I finally got the truth from 5th third bank that they failed to pay my property taxes last year ( although this clearly differs from escrow statements they have sent me saying they paid insurance & taxes on specific dates! ) so now 2 payment must be made and that's why my payment went up so they can not say that they aren't at fault here after XXXX failed payments in less than 14 months. & when property taxes arent paid it increases what is owed. Will they pay that? The 5/3rd representatives ive spoken with havent offered anything financially to remedy this, or any help resolving it. XXXX seems has provided documentation that shows 5/3rd did not do their job. This is all a result of 5/3 failing to pay repeatedly, Which when you consider that they originally failed to pay 12 months ago costing me {$500.00} more a year, then failed to pay on time for new {$1200.00} policy, they failed to pay ontime, they failed to pay my property tax & im sure there are fees associated with paying it a year late, And on top of all of that, all I know is that I have atleast 10s of thousands in damage maybe more & no one is interested in fixing the home Where my five children reside, even though 5/3 has been proven time & again that they are negligently operating my escrow account & they are not taking responsibility for their actions or lack of actions even after I have called dozens of times & reasonably pointed out the issues & negative effects their negligence has had on my home, my family, My life & our future. 
I am the sole provider here And I work Monday through Friday XXXX XXXX  to XXXX XXXX  I've made all my payments I've done everything I was supposed to do & ive called 5/3rd dozens of times but I'm still left with no answers about my {$1200.00} or my damages all while forced to pay a higher mortgage payment that we can not afford & all due to this companies repeated mistakes. I have called & called looking for answers from attorneys & others but i am yet to find anything relevent. 
Any help would be greatly appreciated. 
XXXX XXXX",None,FIFTH THIRD FINANCIAL CORPORATION,MI,49120,None,1,Web,2023-02-25 00:00:00.000000,Closed with explanation,1,1,6611149,-1.1566694
35,2023-02-23 00:00:00.000000,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,None,"I have spoken with this company on the following dates XX/XX/23, XX/XX/23, XX/XX/23, XX/XX/23, XX/XX/23, XX/XX/23, XX/XX/23, XX/XX/23, and XX/XX/23. These calls are happening during the time in the morning and afternoons. I have asked this company beginning on XX/XX/23 call to take me off the list along with the above dates after this and I got told by the representative from CCM ( Cross Country Mortgages ) that I will be taken off the call list and I have been still getting calls, they are happening more and more and they still don't listen. I have also told them I am not interested and take me off your list as I will never refinance at this point in time.",None,CrossCountry Mortgage LLC,CT,06410,None,1,Web,2023-02-23 00:00:00.000000,Closed with monetary relief,1,1,6601266,-1.9006227
36,2020-07-11 00:00:00.000000,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,None,"I contacted Bank of America to apply for a mortgage pre-approval. I provided all the necessary documents and there was a hard check on my credit score, but even after changing my bank agent one time and contacting the bank multiple times, I never hear a response back. Eventually my mortgage application vanished from my online banking account without me receiving any response. I recently contacted the bank about it and was told that the application was too old and I had to reapply.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94086,None,1,Web,2020-07-11 00:00:00.000000,Closed with explanation,1,1,3740678,-2.4283676
43,2021-03-16 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"No assistance has been offered to avoid foreclosure during this COVID pandemic. 
I received a notice of foreclosure dated XX/XX/2021 from their attorney on XX/XX/2021. I contacted the attorney to verify debt and they will send out information to confirm debt. I then contacted the Company on XX/XX/XXXX via email, they responded to my email requesting on XX/XX/2021, my phone number. I sent the information on XX/XX/XXXX and I have not heard anything from mortgage company. On XX/XX/2021, I spoke to someone from the company 's collection department and she stated she would call me back to see if payment arrangements would be acceptable. As of this date, I have not heard from the company 's collection or loss mitigation departments to assist me in avoiding foreclosure.",None,Statebridge Company,GA,30038,None,1,Web,2021-03-16 00:00:00.000000,Closed with explanation,1,1,4217002,-1.9624331
45,2021-09-26 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"Our mortgage history : We filed for Bankruptcy ( BK ) to save our home from Foreclosure XXXX as advised by XXXX ( XXXX XXXX XXXX XXXX XXXX ) XXXX XXXX XXXX XXXX ( trustee and investor of IndyMac Bank now XXXX XXXX XXXX ) filed Relief from Stay. The BK Judge noted that our loan has a defective note for the fact that the loan was only under my husband 's name and only his signatures were on the loan docs. The property was our primary residence and was recorded under our names as husband and wife, joint tenancy ( we were married XXXX ). Ocwen Loan Servicing , LLC ( who is the servicing company of IndyMac Bank/XXXX XXXX XXXX ) just sent us a notice dated XX/XX/XXXX saying they will foreclose our property in 30 days. We tried to apply for loan modification which they offered us, before we filed for BK but we were denied after they required us to send a money order of the new monthly payment {$1600.00} with our loan modification application ( we have copies of their offer and the payment we sent ). Our payment went up to {$3200.00}. We can't afford that kind of monthly payment. At that time, we were both still working. My husband is retired now ( he's XXXX yrs. old ) and I stopped working XXXX XXXX. I was on XXXX from XXXX XXXX to XXXX XXXX. I have 5 XXXX XXXX, have other medical problems We were denied of the loan modification. They gave us false Hope! We have to admit, we were ignorant and naive about the rules/laws or clueless and unsuspecting of any violation committed due to our lack of understanding ( XXXX is not our first language ) .I remember, the loan papers were just brought by a notary person to our residence. Since she was not a loan officer, there was no explanation about the loan or documents. She just verified the identification and took the signatures needed from my husband. I just learned that this is considered as a predatory loan besides the homestead code violation. It is my understanding that imposing unfair and abusive loan terms on borrowers, often through aggressive sales tactics, taking advantage of a borrower 's lack of understanding of complicated transactions is an outright deception. 

Another legal argument of our BK lawyer with the bank lawyer to oppose the Motion for Relief from Stay was : A community estate and a joint tenancy between a spouses can not exist at the same time in the same property. The reasoning was that the unity of interest was lacking between husband and wife, because at that time ( XXXX ) only husband and wife had exclusive equal rights of management and control. In a join tenancy, the right of survivorship precludes the community property ( California Probate Code XXXX ) Where a true joint tenancy between husband and wife exists the interest of each precludes the community should be their separate property Post marital creditors of one spouse share of a true joint tenancy ( California Family XXXX ) Regardless of the state of the title property must be either one or the other. It can not be both.When spouses take title of a joint tenancy, each spouse holds his or her own interest as separate property under California law if the community property presumption is overcome ( XXXX. 

The BK Judge even said, that the mortgage loan is defective ( I have a certified copy of the hearing transcrpt if needed ). 

This is only partial of the our situation/experience with IndyMac/XXXX XXXX XXXX . Ocwen is the Servicer but XXXX XXXX is the trustee who filed a Judicial Foreclose against my husband on XXXX. 

In this lawsuit XXXX ( see attached copy of their case where they admitted that the Deed of Trust was mistakenly not recorded. Also they stated that they were unable to locate and obtain an assignment transferring interest as encumbered by the Deed of Trust. Thefore a break in the chain of assignments has occurred. They admitted that the Deed of Trust was Mistakenly not recorded. Also they stated that they were unable to locate and obtain an assignment transferring interest as encumbered by the Deed of Trust directly to XXXX ( the bank ) therefore has a break in the chain of assignments has occurred and the bank must request a Judicial determination of the Court to foreclose our property, XXXX XXXX ( the original loan holder ) has ceased operations & no longer in business. As a defunct ntity with no employees, there is no one remaining capable of executing an assignment. 
The bank is informed and believes and alleged that as a result of an unrecorded and missing assignment, a break in the recorded chain of assignment exist The bank and the foreclosure trustee may not be able to conduct a non-judicial foreclosure sale and the bank must request a Judicial determination of the Court to foreclose this subject property, Loan Experts ( the original loan holder ) has ceased operations and no longer in business. As a defunct they admitted that the Deed of Trust to the Plaintiff was Mistakenly not recorded. Also they stated that they were unable to locate and obtain an assignment transferring interest as encumbered by the Deed of Trust directly to Plaintiff ( XXXX ), therefore a break in the chain of assignments has occurred and Plaintiff must request a Judicial determination of the Court to foreclose this subject property, Loan Experts ( the original loan holder ) has ceased operations and no longer in business. As a defunct entity with no employees, there is no one remaining capable of executing an executing an assignment. XXXX is informed and believes and alleged that as result of the unrecorded and missing assignment, a break in the recorded chain of assignment exists. The bank and the foreclosure trustee may not be able to conduct a non-judicial foreclosure. 

This case was withdrawn by XXXX XXXX but on XX/XX/XXXX, they did a Non Judicial Foreclosure on our property. We are still occupying the property because we have nowhere to go but we fear and very scared that we might be forced to leave anytime.We might get evicted anytime specially if the eviction hold ends this end of XXXX ( if not extended ). We are seniors and with housing crisis in the bay srea, we might end up in the streets. 

We are not trying to get this property for free but if they can give us a loan modification with the low interest with the {$500000.00} bad loan they gave us before, maybe we can still save the property. My son is willing to help us pay some monthly mortgage payment. We are on fixed income ( SS pension ). Maybe we can sell the property and they can just get the 1/2 interest value of my husband since the loan was under his name only ( I dont have any signature on the mortgage loan ). I assumed, they can not legally transfer the Deed of the property since they dont have unrecorded and missing /void assignments ( as they admitted ) plus I have my name in the original Deed of Trust.They violated my rights as a spouse who have 1/2 interest in the property ( as a joint tenancy ). 
We filed for Wrongful Foreclosure ( after the Non-Judicial Foreclosure on XXXX XXXX ) but it did never went to Trial. It was Demurred because they alleged that I signed a waiver or assigned the property to my husband married man, as sole and separate property. I denied this allegation. Who in a right mind will sign something like this? They have high caliver lawyers while we can only afford to maintain a lawyer but just a pro bono services ( we pay only what they do to us ). Our case was mishandled. 

If they want, we can sell the property but only the 1/2 value can go to them. The 1/2 value goes to the spouse since this is a joint tenancy. 

Whatever remedy you think is fair and right, please help us negotiate with the bank. They have a history of unfair practices and mortgage fraud ( I have articles that proves the allegations ) See attachments ) Can I fax or send the attachment separately via email? I have pages of documents to send. Can u give me your email please? I am not good in sending attachment. Sorry Thanks so much. 

Mrs XXXX XXXX",None,Ocwen Financial Corporation,CA,95136,Older American,1,Web,2021-10-14 00:00:00.000000,Closed with explanation,1,1,4755076,-2.1549342
52,2023-02-23 00:00:00.000000,Mortgage,FHA mortgage,Closing on a mortgage,None,"i would like a certified forensic and bloomberg audit done on XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX and shellpoint mortgage servicing. i believe there is a number of fraud violations in this consumer credit transaction",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",GA,30294,None,1,Web,2023-02-23 00:00:00.000000,Closed with explanation,1,1,6600658,-2.101875
55,2019-08-28 00:00:00.000000,Mortgage,FHA mortgage,Struggling to pay mortgage,None,"We bought our home through fha financing through wells fargo. In 2007 our home was forclosed on after we were told during closing our payments were {$570.00}. First payment XXXX. We asked for help, got denied, lost our home",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MO,647XX,None,1,Web,2019-08-28 00:00:00.000000,Closed with explanation,1,1,3357514,-1.6315789
